"TypeId","DisplayName","Category","CurrentRarity","IsShopCandidate","Regions","ResourceDirectory","DamageType","MaxHitPoints","Attack","Defense","MagicResistance","AttackIntervalSeconds","EffectiveAttackIntervalSeconds","MoveSpeedMetresPerSecond","LifeDeduct","HasElite2","HasElite3"
"1119","强壮囚犯","其他","4","True","哥伦比亚","1119_vofsd","Physical","11000","600","700","0","3.3","1.65","0.8","1","True","False"
"1121","重犯","其他","5","True","哥伦比亚","1121_lifbos","Physical","20000","800","400","0","3.0","1.50","0.8","1","True","False"
"1131","变异沙地兽","感染生物","2","True","","1131_sbeast","Physical","2700","320","100","0","2.5","1.25","1.7","1","True","False"
"1132","变异岩蛛","感染生物","3","True","","1132_sarchn","Physical","2500","360","200","0","1.5","0.75","1.1","1","True","False"
"1134","源石畸变体","感染生物","4","True","","1134_diamd","Magic","4000","1000","2000","80","4.0","2.00","0.7","1","True","False"
"1137","畸变赘生物","感染生物","1","False","","1137_plasm","Physical","1000","150","0","0","2.0","1.00","1.9","1","False","False"
"1138","畸变恶性瘤","感染生物","2","False","","1138_tumor","Physical","1500","200","0","0","2.0","1.00","1.9","1","False","False"
"1140","战术猎犬","感染生物","1","True","","1140_merhd","Physical","2200","310","0","20","1.5","0.75","1.9","1","True","False"
"1146","铁砧","无人机","6","True","","1146_defspd","None","5000","0","80","50","1.0","0.50","1.0","1","True","False"
"1147","壳海狂奔者","海怪","1","True","阿戈尔","1147_dshond","Physical","3000","280","0","20","1.3","0.65","1.9","1","True","False"
"1165","深池侦察犬","其他","2","True","维多利亚","1165_duhond","Physical","2800","300","0","0","1.4","0.70","1.7","1","True","False"
"1166","深池侦察兵","其他","2","True","维多利亚","1166_dusbr","Physical","3000","280","110","0","2.0","1.00","1.0","1","True","False"
"1169","深池方阵战士","其他","4","True","维多利亚","1169_duphx","Physical","4000","300","300","0","2.5","1.25","1.0","1","True","False"
"1170","深池重甲卫士","其他","3","True","维多利亚","1170_dushld","Physical","7000","700","750","0","4.0","2.00","0.7","1","True","False"
"1230","深溟奠基者","海怪","4","True","阿戈尔","1230_dsbudr","Magic","7000","450","200","30","3.0","1.50","1.0","1","True","False"
"1231","深溟猎食者","海怪","4","True","阿戈尔","1231_dsrunr","Physical","4000","450","50","0","3.0","1.50","1.0","1","True","False"
"1232","深溟引痕者","海怪","5","True","阿戈尔","1232_dssalr","Physical","19000","800","500","5","4.0","2.00","0.8","1","True","False"
"1240","量产巨像","造物","4","True","莱塔尼亚","1240_ltgint","Physical","15000","650","1200","50","4.0","2.00","0.75","1","True","False"
"1246","黑水源石虫","感染生物","1","True","莱塔尼亚","1246_aslime","Physical","2250","280","0","0","1.7","0.85","1.0","1","True","False"
"1254","实验用动力装甲","机械","4","True","哥伦比亚","1254_lypa","Physical","8000","700","700","20","1.3","0.65","1.2","1","True","False"
"1262","钢铁冲浪教练","机械","4","True","萨尔贡","1262_durplc","Magic","8000","400","800","10","3.0","1.50","0.75","1","True","False"
"1264","蜜酿级醒酒助手","机械","5","True","萨尔贡","1264_durgrd","Physical","10000","1100","1500","10","3.0","1.50","0.7","1","True","False"
"1274","蒸汽战车","机械","4","True","维多利亚","1274_stmram","Physical","10000","650","800","20","3.0","1.50","0.7","1","True","False"
"1277","家族士兵","其他","1","True","叙拉古","1277_sgman","Physical","3500","320","120","10","1.8","0.90","1.0","1","True","False"
"1279","家族恫吓者","其他","3","True","叙拉古","1279_sgbdg","Physical","9000","500","900","10","3.0","1.50","0.5","1","True","False"
"1281","家族专用轿车","机械","5","True","叙拉古","1281_sgcar","Physical","10000","900","1000","15","5.0","2.50","1.2","1","True","False"
"1282","家族角头","其他","3","True","叙拉古","1282_sgelder","Magic","7500","500","500","25","2.5","1.25","0.7","1","True","False"
"1314","寻路密探","其他","3","True","维多利亚","1314_wdnjd","Physical","6500","500","300","20","2.3","1.15","0.65","1","True","False"
"1315","岗哨密探","其他","2","True","维多利亚","1315_wdyjd","Physical","5500","700","150","35","3.3","1.65","0.65","1","True","False"
"1316","武装密探","其他","4","True","维多利亚","1316_wdpjd","Physical","12000","1000","1200","0","3.5","1.75","0.35","1","True","False"
"1319","叛乱煽动者","其他","3","True","维多利亚","1319_wdfmpm","Magic","10000","250","100","50","5.0","2.50","0.6","1","True","False"
"1322","“灰礼帽”","其他","5","True","维多利亚","1322_wdgyht","Physical","36000","2250","500","35","6.0","3.00","0.7","1","True","False"
"1326","特里蒙城防军","其他","3","True","哥伦比亚","1326_cbagen","Physical","5800","400","150","40","1.5","0.75","1.2","1","True","False"
"1328","弧光锋卫","其他","4","True","哥伦比亚","1328_cbjedi","Magic","10000","700","550","50","3.0","1.50","0.75","1","True","False"
"1329","弧光镜卫","其他","4","True","哥伦比亚","1329_cbshld","Physical","10000","700","3300","60","3.0","1.50","0.75","1","True","False"
"1333","“交通警察”","其他","3","True","哥伦比亚","1333_cbbgen","Physical","5500","600","300","40","1.5","0.75","1.2","1","True","False"
"1335","啮齿兽","感染生物","3","True","","1335_bldrat","Physical","2200","300","100","0","1.4","0.70","1.7","1","True","False"
"1355","护障","无人机","5","True","","1355_mrfly","None","6000","0","80","40","2.0","1.00","1.2","1","True","False"
"1371","残党乐团长笛手","其他","2","True","莱塔尼亚","1371_ltnflu","Physical","4000","280","150","10","2.0","1.00","0.8","1","True","False"
"1372","残党乐团小号手","其他","2","True","莱塔尼亚","1372_ltntpt","Physical","6000","200","200","15","2.0","1.00","0.8","1","True","False"
"1375","残党乐团管乐家","其他","4","True","莱塔尼亚","1375_ltnclr","Magic","13000","500","700","60","6.0","3.00","0.8","1","True","False"
"1377","残党乐团大提琴家","其他","3","True","莱塔尼亚","1377_ltnclo","Physical","15000","600","900","60","4.0","2.00","0.6","1","True","False"
"1433","单核掠食者","海怪","2","True","阿戈尔","1433_dsbasi","Physical","4300","280","0","10","1.1","0.55","1.6","1","True","False"
"1434","微核沉积者","海怪","2","True","阿戈尔","1434_dsshel","Physical","4500","400","500","10","5.0","2.50","0.5","1","False","False"
"1437","蕴核饲育者","海怪","4","True","阿戈尔","1437_dsfull","Physical","14500","800","1250","15","4.5","2.25","0.5","1","True","False"
"2031","塑路者","海怪","6","True","","2031_syboy","Physical","35000","800","800","50","2.8","1.40","0.5","5","False","False"
"2033","塑路者分形","海怪","4","False","","2033_syboys","Physical","20000","600","100","10","3.0","1.50","0.4","1","False","False"
"2043","染污躯壳","坍缩体","2","True","","2043_smsbr","Physical","4000","400","200","0","1.5","0.75","1.0","1","False","False"
"2046","木裂战士","坍缩体","4","True","","2046_smwar","Physical","20000","700","800","20","1.2","0.60","2.5","1","False","False"
"5503","果冻小子","其他","6","True","","5503_arcslma","Physical","18000","1100","0","0","4.0","2.00","0.2","1","False","False"
"7002","矿脉守卫","造物","4","True","萨尔贡","7002_veingd","Magic","25000","400","300","10","4.0","2.00","0.6","1","True","False"
"10001","简饲源石虫","感染生物","3","True","","10001_trslim","Physical","4500","200","50","0","1.7","0.85","1.0","0","True","False"
"10002","浆果虫","坍缩体","3","False","","10002_trtrsl","None","5400","0","0","0","0.0","0.00","0.4","0","True","False"
"10004","浆果磐蟹","感染生物","3","True","","10004_trdiam","Physical","5000","550","4000","90","2.3","1.15","0.75","1","True","False"
"10005","染污战士","坍缩体","2","True","","10005_trsmsb","Physical","4000","350","300","0","1.5","0.75","0.8","1","True","False"
"10006","染秽魔像","坍缩体","4","True","","10006_trsmgi","Physical","30000","1300","50","0","6.0","3.00","0.6","1","True","False"
"10073","迷茫的修理小助手","造物","1","True","","10073_mpcar","Physical","2000","300","200","25","2.0","1.00","1.9","1","True","False"
"10077","内测版自助出餐终端","造物","3","True","","10077_mpbarr","Physical","6000","800","1000","40","2.0","1.00","0.6","1","True","False"
"10078","固化源石巨像","造物","6","True","","10078_mprein","Physical","15000","1500","2500","80","7.0","3.50","0.3","1","True","False"
"10126","异质源石虫","感染生物","4","True","乌萨斯","10126_rkbomb","Physical","4500","300","100","20","2.0","1.00","0.5","1","True","False"
"10127","异质裂兽","感染生物","5","True","乌萨斯","10127_rkmbst","Physical","20000","1000","100","20","3.0","1.50","0.5","1","True","False"
